State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Johor,N.24,SENGGARANG,DR MOHD RAMLI,PAS,2,23,11.72,0,L,HD,DOKTOR PERUBATAN SWASTA
Johor,N.24,SENGGARANG,ZAIDI BIN JAPAR,BN,9,23,42.38,0,L,KLH,0
Johor,N.25,RENGIT,MALIK FAISHAL BIN AHMAD,PKR,5,17,31.39,0,L,KLH,0
Johor,N.25,RENGIT,AYUB JAMIL,BN,9,17,55.33,1,L,MNG,0
Johor,N.25,RENGIT,MOHD.TUMIRAN BIN AHMAD,PAS,2,17,13.27,0,L,KLH,0
Johor,N.26,MACHAP,ABD TAIB BIN ABU BAKAR,BN,9,19,46.93,1,L,MNG,0
Johor,N.26,MACHAP,HAJI AHMAD BIN AHEM,PKR,8,19,44.91,0,L,KLH,0
Johor,N.26,MACHAP,USTAZ HAJI AZLISHAM,PAS,1,19,8.16,0,L,HD,0
Johor,N.27,LAYANG-LAYANG,HJ JUBRI,PAS,1,15,8.44,0,L,HD,0
Johor,N.27,LAYANG-LAYANG,ONN HAFIZ BIN GHAZI,BN,7,15,46.93,1,L,MNG,0
Johor,N.27,LAYANG-LAYANG,CIKGU MURUGAN,PKR,7,15,44.64,0,L,KLH,0
Johor,N.28,MENGKIBOL,CHIN SIM LAI,BN,10,39,25.9,0,L,KLH,0
Johor,N.28,MENGKIBOL,CHEW CHONG SIN,PKR,29,39,74.1,1,L,MNG,0
Johor,N.29,MAHKOTA,DATUK HJ. MD JAIS SARDAY,BN,17,40,44.11,0,L,KLH,0
Johor,N.29,MAHKOTA,MUHAMAD SAID JONIT,PKR,19,40,48.24,1,L,MNG,0
Johor,N.29,MAHKOTA,HASBULLAH NAJIB,PAS,3,40,7.65,0,L,HD,0
Johor,N.30,PALOH,TEOH YAP KUN,BN,8,17,47.55,0,L,KLH,0
Johor,N.30,PALOH,SHAMUGAM A/L MUNISAMY,BEBAS - GAJAH,61,17,0.35,0,L,HD,0
Johor,N.30,PALOH,SHEIKH OMAR ALI,PKR,8,17,52.1,1,L,MNG,0
Johor,N.31,KAHANG,NOORLIHAN BINTI ARIFFIN,PKR,7,18,42.34,0,P,KLH,0
Johor,N.31,KAHANG,R. VIDYANANTHAN,BN,10,18,57.66,1,L,MNG,0
Johor,N.32,ENDAU,ALWIYAH TALIB,BN,7,14,47.95,1,P,MNG,0
Johor,N.32,ENDAU,CIKGU ROSLAN,PAS,3,14,24.79,0,L,KLH,0
Johor,N.32,ENDAU,NORUL HASZARUL BIN ABU SAMAH,PKR,4,14,27.26,0,L,KLH,0
Johor,N.33,TENGGAROH,RAHAMIZON BINTI ABDUL GHANI,PKR,6,22,29.22,0,P,KLH,0
Johor,N.33,TENGGAROH,RAVEN KUMAR KRISHNASAMY,BN,12,22,54.96,1,L,MNG,0
Johor,N.33,TENGGAROH,A. RAHMAN BIN A. HAMID,PAS,3,22,15.82,0,L,KLH,0
Johor,N.34,PANTI,LT. KOLONEL (B) NAZARI,PAS,2,21,9.65,0,L,HD,0
Johor,N.34,PANTI,INTAN JAWAHIR,PKR,7,21,37.2,0,P,KLH,0
Johor,N.34,PANTI,HAHASRIN BIN HASHIM,BN,11,21,53.15,1,L,MNG,0
Johor,N.35,PASIR RAJA,BAHRIN BIN ALIAS,PAS,1,15,8.65,0,L,HD,0
Johor,N.35,PASIR RAJA,ABRARY RAMLY,PKR,6,15,39.76,0,L,KLH,0
Johor,N.35,PASIR RAJA,RASHIDAH BINTI ISMAIL,BN,8,15,51.59,1,P,MNG,0
Johor,N.36,SEDILI,ABD RAZAK BIN ESA,PKR,4,17,24.02,0,L,KLH,0
Johor,N.36,SEDILI,RASMAN BIN ITHNAIN,BN,13,17,75.98,1,L,MNG,0
Johor,N.37,JOHOR LAMA,HJ ROSLELI BIN JAHARI,BN,12,20,60.57,1,L,MNG,0
Johor,N.37,JOHOR LAMA,NOR ASHIDAH BINTI IBRAHIM,PKR,6,20,32.5,0,P,KLH,0
Johor,N.37,JOHOR LAMA,SITI ZAHARAH OTHMAN,PAS,1,20,6.93,0,P,HD,0
Johor,N.38,PENAWAR,AHMAD KAMAH BIN NOR,PKR,5,17,29.65,0,L,KLH,0
Johor,N.38,PENAWAR,"DATO' SHARIFAH AZIZAH ALSHAHAB",BN,12,17,70.35,1,P,MNG,0
Johor,N.39,TANJUNG SURAT,ZAMIL NAJWAH BIN ARBAIN,PKR,5,14,34.63,0,L,KLH,0
Johor,N.39,TANJUNG SURAT,"DATO' SYED SIS BIN A RAHMAN",BN,9,14,65.37,1,L,MNG,0
Johor,N.40,TIRAM,AZMAN BIN ATMIN,PAS,5,50,10.64,0,L,HD,0
Johor,N.40,TIRAM,S GOPALAKRISHNAN,PKR,26,50,52.71,1,L,MNG,0
Johor,N.40,TIRAM,DATUK MAULIZAN BUJANG,BN,18,50,36.65,0,L,KLH,0
Johor,N.41,PUTERI WANGSA,ABD AZIZ BIN TOHAK,BN,12,53,23.55,0,L,KLH,0
Johor,N.41,PUTERI WANGSA,HJ MAZLAN BIN BUJANG,PKR,37,53,70.25,1,L,MNG,0
Johor,N.41,PUTERI WANGSA,LIM YAK HONG,BEBAS - MOTOSIKAL,544,53,1.02,0,L,HD,0
Johor,N.41,PUTERI WANGSA,USTAZ ABDULLAH HUSIN,PAS,2,53,4.97,0,L,HD,0
Johor,N.41,PUTERI WANGSA,TING CHOON CHAI,BEBAS - KUNCI,116,53,0.22,0,L,HD,0
Johor,N.42,JOHOR JAYA,KUMUTHA A/P RAHMAN,PAS,2,51,5.04,0,P,HD,0
Johor,N.42,JOHOR JAYA,LIOW CAI TUNG,PKR,32,51,62.53,1,P,MNG,0
Johor,N.42,JOHOR JAYA,TAN CHER PUK,BN,16,51,32.44,0,L,KLH,0
Johor,N.43,PERMAS,ROHANI BINTI YAACOB,BEBAS - KUNCI,113,53,0.21,0,P,HD,0
Johor,N.43,PERMAS,AB. AZIZ BIN ABDULLAH,PAS,4,53,7.87,0,L,HD,0
Johor,N.43,PERMAS,MOHAMED KHALED NORDIN,BN,20,53,37.73,0,L,KLH,0
Johor,N.43,PERMAS,CHE ZAKARIA BIN MOHD SALLEH,PKR,28,53,54.19,1,L,MNG,0
Johor,N.44,LARKIN,"DATUK YAHYA JA'AFAR",BN,16,44,36.77,0,L,KLH,0
Johor,N.44,LARKIN,MOHD IZHAR BIN AHMAD,PKR,25,44,56,1,L,MNG,0
Johor,N.44,LARKIN,ZAKIAH BINTI TUKIRIN,PAS,3,44,7.24,0,P,HD,0
Johor,N.45,STULANG,ANDREW CHEN KAH ENG,PKR,24,35,67.55,1,L,MNG,0
Johor,N.45,STULANG,ANG BOON HENG,BN,11,35,32.45,0,L,KLH,0
Johor,N.46,PERLING,CHEO YEE HOW,PKR,32,51,63.24,1,L,MNG,0
Johor,N.46,PERLING,WONG YOU FONG,BN,13,51,25.34,0,P,KLH,0
Johor,N.46,PERLING,UST. MUHAMAD NAZRIN BIN IHSAN,PAS,5,51,11.43,0,L,HD,BEKERJA SENDIRI
Johor,N.47,KEMPAS,OSMAN BIN SAPIAN,PKR,21,35,59.68,1,L,MNG,0
Johor,N.47,KEMPAS,DATUK RAMLEE BIN BOHANI,BN,11,35,33.77,0,L,KLH,0
Johor,N.47,KEMPAS,DZULKIFLI BIN SULEIMAN,PAS,2,35,6.55,0,L,HD,0
Johor,N.48,SKUDAI,TAN HONG PIN,PKR,47,59,79.47,1,L,MNG,0
Johor,N.48,SKUDAI,S KANAN,BN,12,59,20.53,0,L,KLH,0
Johor,N.49,KOTA ISKANDAR,DZULKEFLY AHMAD,PKR,33,57,58.35,1,L,MNG,0
Johor,N.49,KOTA ISKANDAR,HJ SALLEHUDDIN BIN MOHD DAHIRAN,PAS,4,57,8.66,0,L,HD,0
Johor,N.49,KOTA ISKANDAR,MOHD KHAIRI BIN A MALIK,BN,18,57,32.99,0,L,KLH,0
Johor,N.50,BUKIT PERMAI,TOSRIN BIN JARVANTHI,PKR,10,20,52.73,1,L,MNG,0
Johor,N.50,BUKIT PERMAI,"ABD AZIZ BIN JA'AFAR",PAS,1,20,6.67,0,L,HD,0
Johor,N.50,BUKIT PERMAI,ALI MAZAT BIN SALLEH,BN,8,20,40.6,0,L,KLH,0
Johor,N.51,BUKIT BATU,USTAZ JUWAHIR BIN AMIN,PAS,1,26,7.25,0,L,HD,0
Johor,N.51,BUKIT BATU,JIMMY PUAH WEE TSE,PKR,17,26,65.68,1,L,MNG,0
Johor,N.51,BUKIT BATU,TEO LEE HO,BN,7,26,27.07,0,L,KLH,0
Johor,N.52,SENAI,TEE BOON TSONG,PKR,28,37,75.1,1,L,MNG,0
Johor,N.52,SENAI,SHEN POH KUAN,BN,9,37,24.9,0,L,KLH,0
Johor,N.53,BENUT,DATUK IR.HASNI BIN MOHAMMAD,BN,9,17,55.43,1,L,MNG,0
Johor,N.53,BENUT,MOHD FIRDAUS BIN JAFFAR,PAS,2,17,15.14,0,L,KLH,0
Johor,N.53,BENUT,ZULKIFLY BIN TASREP,PKR,5,17,29.43,0,L,KLH,0
Johor,N.54,PULAI SEBATANG,DATUK TEE SIEW KIONG,BN,11,28,38.86,0,L,KLH,0
Johor,N.54,PULAI SEBATANG,TAQIUDDIN CHEMAN,PKR,14,28,50.73,1,L,MNG,0
Johor,N.54,PULAI SEBATANG,DR BAHAROM MOHAMAD,PAS,2,28,10.4,0,L,HD,0
Johor,N.55,PEKAN NANAS,TAN ENG MENG,BN,10,22,47.08,0,L,KLH,0
Johor,N.55,PEKAN NANAS,YEO TUNG SIONG,PKR,11,22,52.92,1,L,MNG,0
Johor,N.56,KUKUP,DR KARIM BIN DERAMAN,PAS,1,22,4.64,0,L,HD,0
Johor,N.56,KUKUP,SUHAIZAN KAYAT,PKR,10,22,45.76,0,L,KLH,0
Johor,N.56,KUKUP,"DATUK MD OTHMAN YUSOF ""TOK MOY""",BN,11,22,49.6,1,L,MNG,0
Kedah,N.01,AYER HANGAT,AZLINA BINTI AZINAN,PAS,4,17,22.92,0,P,KLH,TIADA
Kedah,N.01,AYER HANGAT,MOHD RAWI BIN ABD HAMID,BN,6,17,34.19,0,L,KLH,TIADA
Kedah,N.01,AYER HANGAT,JUHARI BIN BULAT,PKR,7,17,42.89,1,L,MNG,AHLI PERNIAGAAN
Kedah,N.02,KUAH,NOR SAIDI BIN NANYAN,BN,5,16,34.52,0,L,KLH,TIADA
Kedah,N.02,KUAH,MAZLAN BIN AHMAD,PAS,2,16,15.91,0,L,KLH,TIADA
Kedah,N.02,KUAH,MOHAMAD RATU B. MANSOR.,BEBAS - POKOK,86,16,0.51,0,L,HD,PENIAGA
Kedah,N.02,KUAH,MOHD FIRDAUS BIN AHMAD,PKR,8,16,49.05,1,L,MNG,AHLI PERNIAGAAN
Kedah,N.03,KOTA SIPUTEH,USTAZ MOHD REJAB MD AKHIR,PAS,5,18,30.75,0,L,KLH,TIADA
Kedah,N.03,KOTA SIPUTEH,AHMAD AZHAR BIN ABDULLAH,BN,5,18,30.73,0,L,KLH,TIADA
Kedah,N.03,KOTA SIPUTEH,DR SALMEE SAID,PKR,7,18,38.52,1,P,MNG,0
Kedah,N.04,AYER HITAM,CIKGU AZHAR,PAS,9,25,36.71,1,L,MNG,PESARA GURU
Kedah,N.04,AYER HITAM,"DATO' HJ ABU HASAN BIN SARIF",BN,7,25,28.72,0,L,KLH,TIADA
Kedah,N.04,AYER HITAM,"DATO' AZIZ MOHAMOD",PKR,8,25,34.57,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.05,BUKIT KAYU HITAM,HABSHAH BINTI BAKAR,PAS,6,26,24.7,0,P,KLH,TIADA
Kedah,N.05,BUKIT KAYU HITAM,HAJAH HALIMATON SHAADIAH BINTI SAAD,PKR,11,26,41.72,1,P,MNG,AHLI PERNIAGAAN
Kedah,N.05,BUKIT KAYU HITAM,"DATO' HAJI AHMAD ZAINI JAPAR",BN,8,26,33.58,0,L,KLH,TIADA
Kedah,N.06,JITRA,ZULHAZMI BIN OSMAN,PAS,7,33,20.83,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.06,JITRA,"DATO' SERI HJ MUKHRIZ TUN MAHATHIR",PKR,18,33,55.58,1,L,MNG,AHLI PERNIAGAAN
Kedah,N.06,JITRA,"DATO' AMINUDDIN BIN OMAR (PAK TAM)",BN,8,33,23.59,0,L,KLH,TIADA
Kedah,N.07,KUALA NERANG,HJ. MUNIR BIN HJ. ZAKARIA,PAS,9,19,45.61,1,L,MNG,TIADA
Kedah,N.07,KUALA NERANG,PAK TUAN SYED FADZIL,PKR,3,19,16.89,0,L,KLH,PESARA KERAJAAN
Kedah,N.07,KUALA NERANG,"DATO' HJ BADROL HISHAM BIN HASHIM",BN,7,19,37.51,0,L,KLH,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI KEDAH
Kedah,N.08,PEDU,HJ MOHD RADZI BIN MD AMIN,PAS,8,18,43.13,1,L,MNG,BERNIAGA
Kedah,N.08,PEDU,HASHIM BIN IDRIS,PKR,3,18,17.28,0,L,KLH,TIADA
Kedah,N.08,PEDU,KAMA NORIAH BINTI IBRAHIM,BN,7,18,39.59,0,P,KLH,TIADA
Kedah,N.09,BUKIT LADA,MOHD AIZAD BIN ROSLAN,PKR,6,24,25.72,0,L,KLH,PENOLONG EKSEKUTIF
Kedah,N.09,BUKIT LADA,"DATO' ARIFFIN BIN MAN",BN,8,24,33.63,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.09,BUKIT LADA,"DATO' HJ. MOHD. ISMAIL BIN HJ. OTHMAN.",BEBAS - BEG,444,24,1.8,0,L,HD,BERNIAGA
Kedah,N.09,BUKIT LADA,USTAZ SALIM MAHMOOD AL-HAFIZ,PAS,9,24,38.85,1,L,MNG,TIADA
Kedah,N.10,BUKIT PINANG,DR. MOHAMMAD NAWAR BIN ARIFFIN,BN,6,23,26.27,0,L,KLH,TIADA
Kedah,N.10,BUKIT PINANG,DZAHER AHMAD,PKR,7,23,30.16,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.10,BUKIT PINANG,WAN ROMANI WAN SALIM,PAS,10,23,43.57,1,L,MNG,TIADA
Kedah,N.11,DERGA,DR. CHEAH SOON HAI,BN,4,22,22.23,0,L,KLH,TIADA
Kedah,N.11,DERGA,TUAN HAJI YAHYA SAAD,PAS,5,22,26.98,0,L,KLH,TIADA
Kedah,N.11,DERGA,TAN KOK YEW,PKR,11,22,50.79,1,L,MNG,-
Kedah,N.12,SUKA MENANTI,MOHD SABRI BIN OMAR,PAS,4,24,18.37,0,L,KLH,BERNIAGA
Kedah,N.12,SUKA MENANTI,AHMAD BASHAH BIN MD HANIPAH,BN,7,24,28.28,0,L,KLH,MENTERI BESAR KEDAH
Kedah,N.12,SUKA MENANTI,ZAMRI YUSUF,PKR,13,24,53.35,1,L,MNG,-
Kedah,N.13,KOTA DARUL AMAN,HAJI ZULKIFLI BIN CHE HARON,PAS,1,16,10.33,0,L,HD,PENYELARAS MAPIM ALOR SETAR
Kedah,N.13,KOTA DARUL AMAN,TAN ENG HWA,BN,3,16,19.49,0,L,KLH,PEGUAM
Kedah,N.13,KOTA DARUL AMAN,TEH SWEE LEONG,PKR,11,16,69.99,1,L,MNG,0
Kedah,N.13,KOTA DARUL AMAN,TAN KANG YAP,PRM,32,16,0.19,0,L,HD,-
Kedah,N.14,ALOR MENGKUDU,USTAZ AHMAD YAHAYA,PAS,6,22,31.32,0,L,KLH,SENDIRI
Kedah,N.14,ALOR MENGKUDU,ABDUL MALIK BIN SAAD,BN,6,22,28.93,0,L,KLH,PESARA
Kedah,N.14,ALOR MENGKUDU,"DATO' HJ PHAHROLRAZI ZAWAWI",PKR,8,22,39.75,1,L,MNG,0
Kedah,N.15,ANAK BUKIT,HAMDI HAJI ISHAK,PAS,8,23,35.42,0,L,KLH,PEGUAM SYARIE
Kedah,N.15,ANAK BUKIT,JOHARI BIN AZIZ,BN,5,23,22.37,0,L,KLH,TIADA
Kedah,N.15,ANAK BUKIT,"DATO' AMIRUDDIN HAMZAH",PKR,9,23,42.21,1,L,MNG,AHLI PERNIAGAAN
Kedah,N.16,KUBANG ROTAN,USTAZ OMAR BIN SAAD,PAS,7,28,25.38,0,L,KLH,PESARA
Kedah,N.16,KUBANG ROTAN,ABDUL MUTHALIB BIN HARUN,BN,7,28,25.96,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.16,KUBANG ROTAN,ASMIRUL ANUAR B. ARIS,PKR,14,28,48.67,1,L,MNG,0
Kedah,N.17,PENGKALAN KUNDOR,USTAZ DR. AHMAD FAKHRUDDIN BIN FAKHRURAZI,PAS,9,27,33.42,0,L,KLH,TIADA
Kedah,N.17,PENGKALAN KUNDOR,ABDUL HALIM BIN SAID,BN,6,27,23.99,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.17,PENGKALAN KUNDOR,"DATO' DR. ISMAIL SALLEH",PKR,11,27,42.58,1,L,MNG,TIADA
Kedah,N.18,TOKAI,UST FIRDAUS JAAFAR,PKR,6,30,21.77,0,L,KLH,0
Kedah,N.18,TOKAI,AHMAD FATAHI BIN OMAR,BN,7,30,25.91,0,L,KLH,TIADA
Kedah,N.18,TOKAI,"DATO' DR MOHD HAYATI",PAS,15,30,52.33,1,L,MNG,DOKTOR (PERSENDIRIAN)
Kedah,N.19,SUNGAI TIANG,RAZAK KHAMIS,PKR,8,31,25.23,0,L,KLH,PESARA KERAJAAN
Kedah,N.19,SUNGAI TIANG,USTAZ SAIFUL SYAZWAN,PAS,11,31,36.38,0,L,KLH,TIADA
Kedah,N.19,SUNGAI TIANG,SURAYA BINTI YAACOB,BN,12,31,38.39,1,P,MNG,TIADA
Kedah,N.20,SUNGAI LIMAU,USTAZ MOHD AZAM BIN ABD SAMAT,PAS,13,24,53.01,1,L,MNG,TIADA
Kedah,N.20,SUNGAI LIMAU,"ZAHRAN DATO' ABDULLAH (LAH PAK)",PKR,4,24,18.25,0,L,KLH,0
Kedah,N.20,SUNGAI LIMAU,"DATO' NORMA BINTI AWANG",BN,7,24,28.74,0,P,KLH,TIADA
Kedah,N.21,GUAR CHEMPEDAK,MOHD SAFFUAN BIN SABARI,PKR,5,18,30.8,0,L,KLH,KONTRAKTOR BINAAN
Kedah,N.21,GUAR CHEMPEDAK,MUSODDAK HJ AHMAD,PAS,6,18,33.9,0,L,KLH,TIADA
Kedah,N.21,GUAR CHEMPEDAK,"DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL",BN,6,18,35.3,1,L,MNG,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI KEDAH.
Kedah,N.22,GURUN,"DATO' JOHARI ABDUL",PKR,10,22,47.32,1,L,MNG,AHLI PERNIAGAAN
Kedah,N.22,GURUN,MUZAINI BIN AZIZAN,PAS,5,22,23.18,0,L,KLH,TIADA
Kedah,N.22,GURUN,"DATO' BOEY CHIN GAN",BN,6,22,28.77,0,L,KLH,PENGARAH SYARIKAT
Kedah,N.22,GURUN,PALANIAPPAN A/L MARIMUTHU,BEBAS - GAJAH,167,22,0.74,0,L,HD,TIADA
Kedah,N.23,BELANTEK,MOHD TAJUDIN BIN ABDULLAH,BN,7,19,36.98,0,L,KLH,0
Kedah,N.23,BELANTEK,CIKGU RASHID,PKR,2,19,12.5,0,L,KLH,TIADA
Kedah,N.23,BELANTEK,USTAZ MOHD ISA B. SHAFIE,PAS,9,19,50.52,1,L,MNG,0
